id,age,income,education,experience,job_title,location,department,gender,hiring_date,performance_score,salary
1,28,45000,Bachelor,3,Data Analyst,New York,Analytics,Male,2020-01-15,78,52000
2,35,62000,Master,8,Senior Analyst,Los Angeles,Analytics,Female,2017-03-22,85,74000
3,42,,PhD,15,Data Scientist,Chicago,Research,Male,2012-06-01,92,95000
4,31,38000,Bachelor,2,Junior Analyst,Houston,Analytics,Female,2021-07-10,65,42000
5,45,85000,Master,20,Manager,New York,Operations,Male,2008-09-15,88,102000
6,29,52000,Bachelor,4,Data Analyst,Phoenix,Analytics,Female,2019-04-20,72,58000
7,38,71000,Master,12,Senior Data Scientist,San Francisco,Research,Male,2014-11-01,95,115000
8,33,55000,Bachelor,6,Data Analyst,Los Angeles,Analytics,,2018-02-28,76,62000
9,27,41000,Bachelor,2,Junior Analyst,Chicago,Analytics,Female,2021-05-12,68,45000
10,50,98000,PhD,25,Director,New York,Executive,Male,2003-01-10,96,145000
11,36,68000,Master,10,Senior Analyst,Boston,Analytics,Female,2015-08-18,82,78000
12,24,32000,Bachelor,1,Intern,Houston,Analytics,Male,2022-01-05,55,35000
13,41,79000,Master,16,Principal Data Scientist,San Francisco,Research,,2010-04-22,94,135000
14,30,48000,Bachelor,5,Data Analyst,Seattle,Analytics,Female,2019-09-30,74,54000
15,47,92000,PhD,22,VP of Analytics,New York,Executive,Male,2006-07-14,97,160000
16,34,58000,Master,7,Senior Analyst,Denver,Analytics,Male,2017-10-25,79,67000
17,26,38000,Bachelor,2,Junior Analyst,Phoenix,Analytics,Female,2021-03-08,62,43000
18,39,74000,Master,13,Senior Data Scientist,Austin,Research,Female,2013-05-16,89,98000
19,32,51000,Bachelor,4,Data Analyst,Los Angeles,Analytics,Male,2019-12-01,71,56000
20,44,88000,PhD,18,Manager,Chicago,Operations,Female,2009-02-20,91,108000
21,29,46000,Bachelor,3,Data Analyst,Boston,Analytics,Male,2020-06-14,75,53000
22,37,72000,Master,11,Senior Data Scientist,Seattle,Research,Male,2014-08-30,87,105000
23,25,34000,Bachelor,1,Intern,Denver,Analytics,Female,2022-03-01,58,38000
24,40,82000,Master,17,Principal Analyst,San Francisco,Analytics,Male,2011-01-18,93,125000
